,Epoch,Train loss,Train accuracy,Train roc_auc,Test loss,Test accuracy,Test roc_auc
0,1.0,0.6067267898470163,0.8804920526651235,0.857080095599161,0.3764747822121398,0.928082191780822,0.9082952815829531
1,2.0,0.19059223039792134,0.9243021488189698,0.901486478937823,0.27957141988795914,0.8710045662100456,0.8295281582952814
2,3.0,0.15920641877903388,0.9359424059207623,0.9161472143425351,0.3336673009700512,0.8299086757990868,0.7728310502283106
3,4.0,0.1429307765399034,0.9437916994094848,0.9284457233793499,0.2660808887111542,0.872907153819794,0.8261035007610351
4,5.0,0.13784130711395007,0.9459600666394601,0.9322491171002676,0.19686327377955118,0.8923135465138579,0.8550228310502284
5,6.0,0.1273077622629129,0.9503654828438393,0.9374470250534596,0.19991664268654774,0.8843226789339492,0.8359969558599696
6,7.0,0.12307949892889995,0.9501434949728159,0.9397410989795982,0.23704707921912135,0.8694824962855474,0.8245814307458142
7,8.0,0.12116370570774261,0.95142881663946,0.9404085620697105,0.2899828278310767,0.8664383561643836,0.8135464231354641
8,9.0,0.12086741583278546,0.9526307397163831,0.9414713954472392,0.16777090980037707,0.9082952816736752,0.8729071537290715
9,10.0,0.11226150488051084,0.9558575352797142,0.9429490430632262,0.2731436187997843,0.865296803652968,0.81544901065449
10,11.0,0.10446677819754069,0.9589175334343544,0.9480129172184203,0.2787639331327726,0.8443683410344058,0.7975646879756468
11,12.0,0.10718454121110531,0.9573734301787157,0.9475436497181277,0.28447526774994314,0.8694824962855474,0.8173515981735161
12,13.0,0.102173632182754,0.962079326923077,0.952828549580771,0.20692449681108754,0.882420091324201,0.83675799086758
13,14.0,0.10236181207001209,0.9603598411266621,0.9504620959259724,0.28319541123359715,0.8584474885844748,0.8006088280060883
14,15.0,0.0947628672592915,0.9631009615384616,0.9549820511335461,0.20570105232604563,0.9299847793905702,0.9018264840182648
15,16.0,0.09288972626225306,0.965047341126662,0.957299895804165,0.16807448809549688,0.9200913242009132,0.8900304414003045
