,Epoch,Train loss,Train accuracy,Train roc_auc,Test loss,Test accuracy,Test roc_auc
0,1.0,0.3490941311304386,0.8745057397163831,0.8250002688193285,0.17229659943820136,0.930365296803653,0.9094368340943683
1,2.0,0.21956485315011098,0.9075218308430452,0.8694557595159675,0.26310873426258835,0.8557838661485611,0.7922374429223744
2,3.0,0.19433157948347238,0.92330381663946,0.8954945559762472,0.198099139618547,0.9052511415525114,0.8698630136986302
3,4.0,0.1776674228075605,0.931555386689993,0.9107332066487902,0.4366457138431671,0.8386605784773282,0.782724505327245
4,5.0,0.167024362545747,0.93189756663946,0.9127345780803474,0.33921931804791433,0.8561643835616438,0.7922374429223744
5,6.0,0.15266308741500745,0.9413927589471524,0.9243347743336155,0.2146211234537978,0.9121004566210046,0.8835616438356165
6,7.0,0.1523062646532288,0.9403711243317677,0.9227323028999228,0.42145542911844985,0.8424657534246576,0.7853881278538811
7,8.0,0.13200426359589285,0.9482388147941002,0.9336953026240168,0.1650485064341053,0.9315068493150684,0.8964992389649924
8,9.0,0.14075767207317627,0.9420121174592239,0.9280546566081674,0.2005617044968148,0.9166666666666666,0.8789954337899544
9,10.0,0.1283983334612388,0.9498663166394601,0.9372208715423925,0.15081348389251048,0.9383561643835616,0.9075342465753424
10,11.0,0.11760000799997494,0.9530649038461538,0.9418738775020066,0.2450485407761787,0.8744292237442922,0.8314307458143075
11,12.0,0.1178535921069292,0.9531900020746085,0.9424367264697714,0.23435978244428765,0.8812785388127854,0.8474124809741247
12,13.0,0.11825074691755268,0.9535689757420467,0.9413028776068006,0.10269369559200932,0.934931506849315,0.9200913242009132
13,14.0,0.10903115890776882,0.957234841126662,0.9465370642136877,0.26333053178711024,0.8710045662100456,0.839041095890411
14,15.0,0.11104030035292874,0.9572765405361469,0.9462742987615558,0.3694704337445296,0.819634703196347,0.7526636225266361
15,16.0,0.10806040637768231,0.9580945840248695,0.9457977748823517,0.1734089826884335,0.9082952816736752,0.8694824961948252
16,17.0,0.11529375409277585,0.9550296801787156,0.9449878821076944,0.22694638317034124,0.8866057839567802,0.8477929984779301
17,18.0,0.10164337383153346,0.9611594878710233,0.951726920645979,0.27212907652876694,0.8934550990252734,0.8633942161339421
18,19.0,0.10865228935503042,0.9578174059207623,0.94840980120609,0.13441948095957437,0.932648401826484,0.9204718417047186
19,20.0,0.10309598744631959,0.9609007065112775,0.9524247004988213,0.2373176223883346,0.8664383561643836,0.8055555555555555
20,21.0,0.09698984268336341,0.9627403846153846,0.9538640032434962,0.1839950573056528,0.9292237442922374,0.9140030441400305
21,22.0,0.09577684780009664,0.9621627257420466,0.9558294141207714,0.18507938987397926,0.91324200913242,0.8835616438356164
22,23.0,0.09587368431429451,0.9623062204856139,0.9548317880262779,0.19739642007846267,0.8858447488584474,0.8302891933028921
23,24.0,0.09619693219518433,0.9620842328438393,0.9536043919845569,0.1632333867353936,0.9509132420091324,0.9341704718417049
24,25.0,0.09419903668503349,0.9631426609479464,0.9569238135555805,0.19874471201472085,0.9155251141552512,0.8873668188736681
25,26.0,0.08974084487328163,0.9651442307692307,0.956120351803738,0.1946782776845362,0.906392694063927,0.8694824961948249
26,27.0,0.08969366057560994,0.9654263147941002,0.9566060802503451,0.19962040261226865,0.8618721461187214,0.821537290715373
